priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Ejerlejlighed	Hillerød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16707	16881	16891	17306	18550	19603	18736	21994	21798	24088	25229	26652	25740	27148	26166	24800	25527	23797	21781	23240	21997	22543	20298	19836	20341	18825	18645	19145	18996	18200	17495	16396	17331	17768	17234	19244	17753	18641	18739	19108	19308	18839	18504	18565	18588	19332	18737	19759
Første udbudspris	Ejerlejlighed	Hørsholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18960	18758	19137	20394	22272	23237	25104	28237	27850	30553	31279	30889	30982	31603	32210	30279	29057	30312	31004	..	28193	27087	29143	27226	22652	23515	21528	25311	24683	22270	27501	24398	23719	23153	21770	22230	21163	22711	23645	22587	21597	21352	23426	22846	23707	25935	25461	29823
Første udbudspris	Ejerlejlighed	Rudersdal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18270	20092	20699	20493	22561	23018	25060	25703	28048	31653	32619	32857	32154	30524	31158	31670	29808	28979	27424	25295	24846	25498	22750	25838	22954	25032	25619	24612	23811	22347	22674	21411	22627	20836	24571	20807	22013	22394	21575	22295	24204	24450	22885	24651	24892	26659	24145	27779
Første udbudspris	Ejerlejlighed	Landsdel Bornholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8736	10228	9981	10150	8596	12718	13608	12360	9377	16504	15330	15766	15338	18281	18825	17305	13247	17656	16451	..	..	13624	13581	16711	13178	11955	15300	11051	17363	13743	10765	12102	12167	12464	12436	11090	9570	11998	16654	13719	12990	12514	9844	12361	13430	10261	9388	14773
Første udbudspris	Ejerlejlighed	Bornholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8736	10228	9981	10150	8596	12718	13608	12360	9377	16504	15330	15766	15338	18281	18825	17305	13247	17656	16451	..	..	13624	13581	16711	13178	11955	15300	11051	17363	13743	10765	12102	12167	12464	12436	11090	9570	11998	16654	13719	12990	12514	9844	12361	13430	10261	9388	14773
Første udbudspris	Ejerlejlighed	Region Sjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12303	12927	13488	13374	14068	14757	15107	15390	17058	18251	18466	18690	19049	19073	19550	18815	18850	18643	18374	17687	16791	16710	16161	16216	15658	15393	15591	15105	15074	15468	14943	13889	13936	14076	13875	13934	14049	13413	14056	13866	13385	14108	14083	13833	14368	14181	15474	14425
Første udbudspris	Ejerlejlighed	Landsdel Østsjælland	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16261	17386	17657	17740	18095	19258	19680	20355	22648	24233	25503	25491	25800	25163	26333	24621	24352	23751	23642	22167	21553	20139	19821	19470	20292	19599	19358	19027	19077	19833	18752	17503	17676	18008	18082	17732	18018	19015	18648	18180	17807	18674	18154	19413	19830	20742	21198	20802
Første udbudspris	Ejerlejlighed	Greve	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17597	18542	19746	18740	19328	19682	20744	22393	25845	26859	27641	28451	27628	28086	27832	26824	28244	24669	23326	25665	..	21828	21041	22603	21044	21108	19664	20335	22683	21330	18750	20222	19459	21180	19052	21470	22284	20664	20898	21121	20593	20434	18563	21277	21807	22592	22919	23704
Første udbudspris	Ejerlejlighed	Køge	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15326	17183	18281	15810	17151	17790	17736	17210	17603	21600	23270	23300	24670	23153	26710	21553	20896	22807	25504	20782	21278	19003	21543	18677	22370	17942	18531	17920	16105	18884	18223	16849	17498	15345	16748	15460	15985	19382	17498	17026	16268	16110	16100	19160	19061	19271	20796	19862
Første udbudspris	Ejerlejlighed	Lejre	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
